image_url,title,rating,price,ad_or_organic
https://m.media-amazon.com/images/I/71A9yCXgOnL._AC_UY218_.jpg,Ultimus APEX Pro Intel Pentium Quad Core Laptop 4GB RAM 128GB eMMC SSD Expandable~512GB Ultra Thin Bezel 180° Hinge 2.0x1 3.0x1 USB HDMI SD Card Slot Dual Speaker Win11 Home Space Gray 1.2Kg,3.9 out of 5 stars,11990,Organic
https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",4.0 out of 5 stars,37990,Organic
https://m.media-amazon.com/images/I/71tvlUVzTwL._AC_UY218_.jpg,HP 255 2GB RAM 128GB SSD DOS,4.3 out of 5 stars,36250,Organic
https://m.media-amazon.com/images/I/714-RoZpQML._AC_UY218_.jpg,"HP 15, AMD Ryzen 7 7735HS (16GB DDR5,512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc1038AU, AMD Radeon FHD Camera w/Shutter, Backlit Laptop",4.0 out of 5 stars,60990,Organic
https://m.media-amazon.com/images/I/71Z4mSII9BL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",3.8 out of 5 stars,52490,Organic
https://m.media-amazon.com/images/I/61nTNphSBvL._AC_UY218_.jpg,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W",4.1 out of 5 stars,65990,Organic
https://m.media-amazon.com/images/I/71OYTmMWyLL._AC_UY218_.jpg,"HP 14 245 (2025), AMD Ryzen 5 7520U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" HD Display/Ash Grey/1.36 kg/MS Office 2021",4.1 out of 5 stars,30490,Organic
https://m.media-amazon.com/images/I/61rutN1uR6L._AC_UY218_.jpg,Ultimus APEX Pro Intel Pentium Quad Core Laptop 4GB RAM 128GB eMMC SSD Expandable~512GB Ultra Thin Bezel 180° Hinge 2.0x1 3.0x1 USB HDMI SD Card Slot Dual Speaker Win11 Home Cloud Silver 1.2Kg,2.8 out of 5 stars,11990,Organic
https://m.media-amazon.com/images/I/71EwQWH7UvL._AC_UY218_.jpg,"ASUS Vivobook 14, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Cool Silver, 1.40kg, X1404VA-NK761WS, Intel UHD, M365 Basic (1Year)*, Backlit Keyboard Laptop",3.9 out of 5 stars,34750,Organic
https://m.media-amazon.com/images/I/618EzEodvlL._AC_UY218_.jpg,"HP 15, Intel Core i3-1315U-13th Gen Laptop (8GB DDR4 Ram,512GB SSD) Anti-Glare, Micro-Edge,15.6'' FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD 15-FD0569TU/FD0129TU",3.9 out of 5 stars,34990,Organic
https://m.media-amazon.com/images/I/818iNyzckGL._AC_UY218_.jpg,"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",4.1 out of 5 stars,53990,Organic
https://m.media-amazon.com/images/I/713QmwFZbsL._AC_UY218_.jpg,ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB LPDDR4 512 GB SSD Expandable~1TB 14.1 FHD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,3.6 out of 5 stars,17990,Organic
https://m.media-amazon.com/images/I/61XOR7fpbVL._AC_UY218_.jpg,"Lenovo Smartchoice Ideapad 5 2-in-1 13th Gen Intel Core i5-13420H (16GB RAM/512GB SSD/Windows 11/Office Home 2024/WUXGA IPS/14 (35.5cm)/Touchscreen 2-in-1/3Mon.Game Pass/Grey/1.6kg), 83KX0059IN Laptop",4.0 out of 5 stars,73490,Organic
https://m.media-amazon.com/images/I/71I9chrFYFL._AC_UY218_.jpg,"Dell 15 Laptop DC15250-15.6-inch FHD (1920x1080) 120Hz Display, Intel Core i5-1334U Processor, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Platinum Silver",4.5 out of 5 stars,54399,Organic
